csv_row_id,commune_name,commune_code,office,election_date
133,Lautaro,91108,Alcalde,2024-10-27
134,Lebu,81205,Alcalde,2024-10-27
135,Licantén,71203,Alcalde,2024-10-27
136,Limache,58001,Alcalde,2024-10-27
137,Linares,71301,Alcalde,2024-10-27
138,Litueche,61203,Alcalde,2024-10-27
139,Llanquihue,10107,Alcalde,2024-10-27
140,Lo Barnechea,13115,Alcalde,2024-10-27
141,Lo Espejo,13116,Alcalde,2024-10-27
142,Lo Prado,13117,Alcalde,2024-10-27
143,Lolol,61304,Alcalde,2024-10-27
144,Loncoche,91109,Alcalde,2024-10-27
145,Longaví,71303,Alcalde,2024-10-27
146,Lonquimay,91205,Alcalde,2024-10-27
147,Los Andes,53002,Alcalde,2024-10-27
148,Los Lagos,14104,Alcalde,2024-10-27
149,Los Muermos,10106,Alcalde,2024-10-27
150,Los Sauces,91206,Alcalde,2024-10-27
151,Los Vilos,41203,Alcalde,2024-10-27
152,Los Álamos,81206,Alcalde,2024-10-27
153,Los Ángeles,81305,Alcalde,2024-10-27
154,Lota,81106,Alcalde,2024-10-27
155,Lumaco,91207,Alcalde,2024-10-27
156,Machalí,61108,Alcalde,2024-10-27
157,Macul,13118,Alcalde,2024-10-27
158,Maipú,13119,Alcalde,2024-10-27
159,Malloa,61109,Alcalde,2024-10-27
160,Mariquina,14106,Alcalde,2024-10-27
161,María Elena,22302,Alcalde,2024-10-27
162,María Pinto,13503,Alcalde,2024-10-27
163,Maule,71105,Alcalde,2024-10-27
164,Maullín,10108,Alcalde,2024-10-27
165,Mejillones,22102,Alcalde,2024-10-27
166,Melipeuco,91110,Alcalde,2024-10-27
167,Melipilla,13501,Alcalde,2024-10-27
168,Molina,71204,Alcalde,2024-10-27
169,Monte Patria,41303,Alcalde,2024-10-27
170,Mostazal,61110,Alcalde,2024-10-27
171,Mulchén,81306,Alcalde,2024-10-27
172,Máfil,14105,Alcalde,2024-10-27
173,Nacimiento,81307,Alcalde,2024-10-27
174,Nancagua,61305,Alcalde,2024-10-27
175,Navidad,61205,Alcalde,2024-10-27
176,Negrete,81308,Alcalde,2024-10-27
177,Ninhue,16117,Alcalde,2024-10-27
178,Nogales,55004,Alcalde,2024-10-27
179,Nueva Imperial,91111,Alcalde,2024-10-27
180,Olivar,61111,Alcalde,2024-10-27
181,Ollagüe,22202,Alcalde,2024-10-27
182,Olmué,58002,Alcalde,2024-10-27
183,Osorno,10110,Alcalde,2024-10-27
184,Ovalle,41301,Alcalde,2024-10-27
185,Padre Hurtado,13604,Alcalde,2024-10-27
186,Padre Las Casas,91112,Alcalde,2024-10-27
187,Paihuano,41105,Alcalde,2024-10-27
188,Paillaco,14107,Alcalde,2024-10-27
189,Paine,13404,Alcalde,2024-10-27
190,Palena,10130,Alcalde,2024-10-27
191,Palmilla,61306,Alcalde,2024-10-27
192,Panguipulli,14108,Alcalde,2024-10-27
193,Panquehue,57003,Alcalde,2024-10-27
194,Papudo,54003,Alcalde,2024-10-27
195,Paredones,61206,Alcalde,2024-10-27
196,Parral,71304,Alcalde,2024-10-27
197,Pedro Aguirre Cerda,13121,Alcalde,2024-10-27
198,Pelarco,71106,Alcalde,2024-10-27
199,Pelluhue,71403,Alcalde,2024-10-27
200,Pemuco,16105,Alcalde,2024-10-27
201,Pencahue,71107,Alcalde,2024-10-27
202,Penco,81107,Alcalde,2024-10-27
203,Peralillo,61307,Alcalde,2024-10-27
204,Perquenco,91113,Alcalde,2024-10-27
205,Petorca,54004,Alcalde,2024-10-27
206,Peumo,61112,Alcalde,2024-10-27
207,Peñaflor,13605,Alcalde,2024-10-27
208,Peñalolén,13122,Alcalde,2024-10-27
209,Pica,21205,Alcalde,2024-10-27
210,Pichidegua,61113,Alcalde,2024-10-27
211,Pichilemu,61201,Alcalde,2024-10-27
212,Pinto,16106,Alcalde,2024-10-27
213,Pirque,13202,Alcalde,2024-10-27
214,Pitrufquén,91114,Alcalde,2024-10-27
215,Placilla,61308,Alcalde,2024-10-27
216,Portezuelo,16118,Alcalde,2024-10-27
217,Porvenir,12105,Alcalde,2024-10-27
218,Pozo Almonte,21201,Alcalde,2024-10-27
219,Primavera,12106,Alcalde,2024-10-27
220,Providencia,13122,Alcalde,2024-10-27
